ksp_type,ksp_rtol,it,energy,dE,grad_norm,alpha,ksp_its,ls_evals
cg,1e-01,234,4444050.642339609,-1426.3042895598337,150890255.8781142,0.125,2,17
cg,1e-01,235,4500475.516978784,-56424.87463917583,150926076.9912133,0.001953125,3,17
cg,1e-01,236,4504003.060539937,-3527.5435611521825,152591682.05747855,0.0625,2,17
cg,1e-01,237,4569572.985863052,-65569.92532311566,152723876.48362818,0.03125,2,17
cg,1e-01,238,4605238.788002779,-35665.80213972647,155804322.33010334,0.00390625,2,17
cg,1e-01,239,4696807.807978534,-91569.01997575536,157259161.50400794,0.0078125,2,17
cg,1e-01,240,4765678.870569571,-68871.06259103678,161538217.7103528,0.00390625,2,17
cg,1e-01,241,4731488.283912987,34190.58665658347,164831077.9131333,0.00048828125,2,17
cg,1e-01,242,4598015.089437873,133473.19447511435,163412516.75718918,0.00048828125,2,17
cg,1e-01,243,4613629.151835986,-15614.06239811331,158469821.81404555,0.0625,3,17
cg,1e-01,244,4530587.033089106,83042.11874688044,158961273.83064348,0.00390625,2,17
cg,1e-01,245,4408561.100324667,122025.93276443891,156169918.19753018,0.0009765625,2,17
cg,1e-01,246,4311293.9734949,97267.12682976667,153294121.95909983,0.0009765625,2,17
cg,1e-01,247,4483126.515569765,-171832.54207486473,150885927.7157949,0.0078125,4,17
cg,1e-01,248,4528078.257236965,-44951.74166719988,156802987.4180714,0.015625,3,17
cg,1e-01,249,4357370.303508424,170707.9537285408,158194351.27944958,0.015625,2,17
cg,1e-01,250,4443787.784719652,-86417.48121122736,152551015.35895213,0.00390625,3,17
cg,1e-01,251,4446306.2622167645,-2518.4774971129373,159137345.88694513,0.015625,2,17
cg,1e-01,252,4334075.336842423,112230.9253743412,159209522.40716597,0.0078125,2,17
cg,1e-01,253,4260026.265383894,74049.07145852968,156038168.0336888,0.00390625,2,17
cg,1e-01,254,4206342.455132597,53683.8102512965,153951732.14601424,0.00390625,2,17
cg,1e-01,255,4256461.038701126,-50118.583568529226,152546464.05076757,0.001953125,2,17
cg,1e-01,256,4086464.2787912833,169996.7599098431,153453457.69114769,0.015625,2,17
cg,1e-01,257,4139222.063073942,-52757.784282658715,149857948.0982222,0.00048828125,2,17
cg,1e-01,258,3971637.792003862,167584.27107007988,150949422.1554956,0.0078125,2,17
cg,1e-01,259,3897569.4826078145,74068.30939604761,150693190.6907,0.00390625,2,17
cg,1e-01,260,3826195.109046969,71374.37356084539,148663192.9399007,0.001953125,2,17
cg,1e-01,261,3643481.844110388,182713.26493658125,147308013.39629623,0.0078125,2,17
cg,1e-01,262,3674004.1200079573,-30522.27589756949,141700099.87362728,0.00390625,2,17
cg,1e-01,263,3743622.885729478,-69618.76572152087,142679942.55057502,0.00048828125,3,17
cg,1e-01,264,3818206.3632814484,-74583.47755197017,145262404.1282757,0.0009765625,2,17
cg,1e-01,265,3916356.353570236,-98149.99028878752,147641829.7276695,0.015625,2,17
cg,1e-01,266,3949372.045455202,-33015.6918849661,150696819.62074926,0.015625,3,17
cg,1e-01,267,3958997.091300159,-9625.045844957232,151709423.06173834,0.015625,2,17
cg,1e-01,268,3969337.9425883214,-10340.851288162172,151957857.53090784,0.00390625,3,17
cg,1e-01,269,3996579.7994521107,-27241.85686378926,152290877.73772654,0.125,2,17
cg,1e-01,270,4041972.8177269096,-45393.01827479899,153023174.67601717,0.03125,2,17
cg,1e-01,271,4058729.802600876,-16756.984873966314,154347229.13620138,0.0009765625,2,17
cg,1e-01,272,4101352.761752177,-42622.95915130107,154828767.24205816,0.015625,2,17
cg,1e-01,273,4107354.853111443,-6002.09135926608,156128955.54982832,0.0625,2,17
cg,1e-01,274,4115158.471816738,-7803.618705295026,156368943.69382367,0.0625,2,17
cg,1e-01,275,4175036.425560957,-59877.953744218685,156755352.77390745,0.03125,2,17
cg,1e-01,276,4196623.776057626,-21587.3504966693,159101229.07405508,0.001953125,2,17
cg,1e-01,277,4223492.233373572,-26868.457315945998,159982937.08721974,0.03125,2,17
cg,1e-01,278,4087534.254993595,135957.97837997694,161573544.56692776,0.0078125,2,17
cg,1e-01,279,4048549.628693509,38984.62630008627,156226975.00796887,0.001953125,2,17
cg,1e-01,280,4119884.8584186067,-71335.22972509777,154802233.28403297,0.00390625,2,17
cg,1e-01,281,3972990.780736783,146894.07768182363,157571944.38030213,0.0078125,2,17
cg,1e-01,282,3845090.944238563,127899.83649821999,152166925.78571957,0.015625,2,17
cg,1e-01,283,3867782.2272886354,-22691.28305007238,148346381.9707131,0.0625,2,17
cg,1e-01,284,3904980.4290648284,-37198.20177619299,149391454.3798711,0.00048828125,2,17
cg,1e-01,285,3915840.6866487474,-10860.257583918981,150706919.5041628,0.00390625,2,17
cg,1e-01,286,3753229.2580511575,162611.42859758995,151174540.90854758,0.015625,2,17
cg,1e-01,287,3594465.0654104003,158764.1926407572,146022350.60114852,0.015625,2,17
cg,1e-01,288,3656693.5479624323,-62228.48255203199,141729554.350625,0.00048828125,2,17
cg,1e-01,289,3502290.238985746,154403.3089766861,144050687.85002097,0.015625,2,17
cg,1e-01,290,3442269.5825779014,60020.65640784474,139750444.28479004,0.001953125,2,17
cg,1e-01,291,3449090.1942708567,-6820.611692955252,138038429.6332684,0.0009765625,2,17
cg,1e-01,292,3404190.5514549804,44899.64281587629,138231789.47469628,0.001953125,2,17
cg,1e-01,293,3355672.7759623085,48517.77549267188,137039885.2439112,0.00048828125,2,17
cg,1e-01,294,3379740.138276062,-24067.36231375346,135650293.4538225,0.0009765625,2,17
cg,1e-01,295,3449008.4117060057,-69268.27342994371,136653434.5291931,0.0009765625,2,17
